movieId,title,genres,sinopsis
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31,Dangerous Minds (1995),Drama,An ex-Marine turned teacher struggles to connect with her students in an inner city school.
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
34,Babe (1995),Children|Drama,"Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett."
36,Dead Man Walking (1995),Crime|Drama,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families."
38,It Takes Two (1995),Children|Comedy,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day."
39,Clueless (1995),Comedy|Romance,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
40,"Cry, the Beloved Country (1995)",Drama,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city."
41,Richard III (1995),Drama|War,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.
42,Dead Presidents (1995),Action|Crime|Drama,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed."
43,Restoration (1995),Drama,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman."
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
45,To Die For (1995),Comedy|Drama|Thriller,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.
46,How to Make an American Quilt (1995),Drama|Romance,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
49,When Night Is Falling (1995),Drama|Romance,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town."
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute."
53,Lamerica (1994),Adventure|Drama,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets the eye."
54,"Big Green, The (1995)",Children|Comedy,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success."
55,Georgia (1995),Drama,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.
57,Home for the Holidays (1995),Drama,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family."
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick."
61,Eye for an Eye (1996),Drama|Thriller,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice."
62,Mr. Holland's Opus (1995),Drama,A frustrated composer finds fulfillment as a high school music teacher.
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992)."
64,Two if by Sea (1996),Comedy|Romance,A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.
65,Bio-Dome (1996),Comedy,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,"After the destruction of Virtual Space Industries at the end of the first film, Jobe is discovered in the rubble and is brought to the facilities of Jonathan Walker (Kevin Conway), a powerful corporate tycoon, where his face is reconstructed and he is hooked back online through virtual reality to work for Walker. Several years later, in a dystopian Los Angeles, Peter ... Read all"
68,French Twist (Gazon maudit) (1995),Comedy|Romance,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
69,Friday (1995),Comedy,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday."
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
71,Fair Game (1995),Action,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her."
72,Kicking and Screaming (1995),Comedy|Drama,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation."
73,"Misérables, Les (1995)",Drama|War,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.
74,Bed of Roses (1996),Drama|Romance,Romantic drama about a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.
75,Big Bully (1996),Comedy|Drama,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again."
76,Screamers (1995),Action|Sci-Fi|Thriller,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience."
77,Nico Icon (1995),Documentary,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live."
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.
79,"Juror, The (1996)",Drama|Thriller,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Five different criminals face imminent death after botching a job quite badly.
82,Antonia's Line (Antonia) (1995),Comedy|Drama,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive."
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
85,Angels and Insects (1995),Drama|Romance,In the 1800s a naturalist marries into a family of British country gentry.
86,White Squall (1996),Action|Adventure|Drama,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
87,Dunston Checks In (1996),Children|Comedy,A young boy befriends a larcenous orangutan in a luxury hotel.
88,Black Sheep (1996),Comedy,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
89,Nick of Time (1995),Action|Thriller,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter."
92,Mary Reilly (1996),Drama|Horror|Thriller,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde."
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,"A ship docks in Brooklyn with all its crew dead, but someone gets off and the killing continues on land. A Caribbean vampire is searching for a specific woman, half-human half-vampire. Rita is the detective investigating the many killings."
94,Beautiful Girls (1996),Comedy|Drama|Romance,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
95,Broken Arrow (1996),Action|Adventure|Thriller,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
96,In the Bleak Midwinter (1995),Comedy|Drama,"A group of theatre actors plays ""Hamlet"" in a provincial village, faced with their own temptations, disappointments, and joys."
97,"Hate (Haine, La) (1995)",Crime|Drama,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fle... Read all"
100,City Hall (1996),Drama|Thriller,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences."
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Three friends plan to pull off a simple robbery and go on the run.
102,Mr. Wrong (1996),Comedy,"A lonely single woman finds the seemingly-perfect man to date, but soon regrets it when his deranged, possessive other personality emerges and she cannot convince anyone else of his Jekyll-and-Hyde true nature."
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,"A medical examiner, who was suspected of murdering his wife, is trying an experimental drug to retrieve his wife's and others' memory and maybe find the killer and the mass murderer in a related present case."
104,Happy Gilmore (1996),Comedy,A rejected hockey player puts his skills to the golf course to save his grandmother's house.
105,"Bridges of Madison County, The (1995)",Drama|Romance,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,"On the brink of her 30th birthday, Fanny feels the door to marital happiness closing on her. She is obsessed with death and even visits evening classes on dying, so it seems fitting that she encounters a skeleton in the malfunctioning elevator of her apartment building. The skeleton is her neighbour Orfeo, a Black, gay, self-declared psychic, who convinces her that sh... Read all"
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,The Muppets' twist on the classic tale.
108,Catwalk (1996),Documentary,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's unveilings to another. Extended footage looks at Versace and Armani in Milan, Galliano, Gaultier, and Langerfeld in Paris, and Isaac Mizrahi in New York. With Kate Moss, Naomi Campb... Read all"
110,Braveheart (1995),Action|Drama|War,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
111,Taxi Driver (1976),Crime|Drama|Thriller,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.
113,Before and After (1996),Drama|Mystery,Two parents deal with the effects when their son is accused of murdering his girlfriend.
116,Anne Frank Remembered (1995),Documentary,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust."
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes interested in science, especially chemistry, and begins to read avidly. Something of a social misfit, he is fascinated by morbid subjects such as poisons and murder. His family environment i... Read all"
118,If Lucy Fell (1996),Comedy|Romance,Two NYC roommates have a pact to jump off Brooklyn Bridge if they haven't found life partners before she's 30. That's less than a month away.
119,"Steal Big, Steal Little (1995)",Comedy,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. On Ruben's side is Lou Perilli a... Read all"
121,"Boys of St. Vincent, The (1992)",Drama,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.
122,Boomerang (1992),Comedy|Romance,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
125,Flirting With Disaster (1996),Comedy,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents."
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.
128,Jupiter's Wife (1994),Documentary,"Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know Maggie over the next couple of years, and attempts to use her often outlandish stories as clues to reconstruct her past."
129,Pie in the Sky (1996),Comedy|Romance,A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.
132,Jade (1995),Thriller,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves."
135,Down Periscope (1996),Comedy,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days."
137,Man of the Year (1995),Documentary,"Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling of Dirk's decision to send a photograph to Playgirl, his selection as a centerfold and then Man of the Year, his many TV interviews, his friend Vivian Paxton posing as his beard, a... Read all"
140,Up Close and Personal (1996),Drama|Romance,"An ambitious young woman, determined to build a career in television journalism, gets good advice from her first boss, and they fall in love."
141,"Birdcage, The (1996)",Comedy,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
144,"Brothers McMullen, The (1995)",Comedy,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity."
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,A young American boy visiting China helps his zoologist father rescue a panda cub from unscrupulous poachers while its reserve is threatened with closure from officious bureaucrats.
147,"Basketball Diaries, The (1995)",Drama,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.
148,"Awfully Big Adventure, An (1995)",Drama,"Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth as she becomes drawn into a web of sexual politics and intrigue."
149,Amateur (1994),Crime|Drama|Thriller,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star."
150,Apollo 13 (1995),Adventure|Drama|IMAX,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
151,Rob Roy (1995),Action|Drama|Romance|War,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite."
152,"Addiction, The (1995)",Drama|Horror,"A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood."
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin."
154,Beauty of the Day (Belle de jour) (1967),Drama,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
155,Beyond Rangoon (1995),Adventure|Drama|War,"Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she is left on her own for a few days, during which time she falls in with students fighting for democracy. She and their leader, U Aung Ko, travel through Burma, whilst witnessing man... Read all"
156,Blue in the Face (1995),Comedy|Drama,"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn."
157,Canadian Bacon (1995),Comedy|War,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada."
158,Casper (1995),Adventure|Children,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.
159,Clockers (1995),Crime|Drama|Mystery,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them."
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong."
161,Crimson Tide (1995),Drama|Thriller|War,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so."
162,Crumb (1994),Documentary,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.
163,Desperado (1995),Action|Romance|Western,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,"An African-American man is hired to find a woman, and gets mixed up in a murderous political scandal."
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building."
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts."
168,First Knight (1995),Action|Drama|Romance,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table."
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.
170,Hackers (1995),Action|Adventure|Crime|Thriller,Hackers are blamed for making a virus that will capsize five oil tankers.
171,Jeffrey (1995),Comedy|Drama,A poignant romantic comedy about the quest for love and intimacy in the age of AIDS. A story of a thirtyish gay actor/waiter who decides to become celibate...the risk of AIDS has taken all the joy from sex.
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza."
173,Judge Dredd (1995),Action|Crime|Sci-Fi,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart."
174,Jury Duty (1995),Comedy,Jobless loser Tommy Collins is sequestered to be a juror in a serial killer trial. He does everything he can to prolong the trial and deliberations to take full advantage of the free lodging and food.
175,Kids (1995),Drama,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins."
176,Living in Oblivion (1995),Comedy,This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.
177,Lord of Illusions (1995),Horror,"A private detective gets more than he bargains for when he encounters Philip Swan, a performer whose amazing illusions captivate the world, but they are not really what everyone thinks."
178,Love & Human Remains (1993),Comedy|Drama,"Set in a dreary urban landscape of Edmonton, LOVE AND HUMAN REMAINS is a dark comedy about a group of twentysomethings looking for love and meaning in the '90s. The film focuses on roommates David, a gay waiter who has has given up on his acting career, and Candy, a book reviewer who is also David's ex-lover. David and Candy's lives are entangled with those of David's... Read all"
179,Mad Love (1995),Drama|Romance,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.
180,Mallrats (1995),Comedy|Romance,"Both dumped by their girlfriends, two best friends seek refuge in the local mall."
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea."
183,Mute Witness (1994),Comedy|Horror|Thriller,"A mute make-up artist working on a slasher movie being shot in Moscow, is locked in the studio after hours. While there, she witnesses a brutal murder, and must escape capture."
184,Nadja (1994),Drama,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction."
185,"Net, The (1995)",Action|Crime|Thriller,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger."
186,Nine Months (1995),Comedy|Romance,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse."
187,Party Girl (1995),Comedy,"A 20-something, irresponsible party girl is bailed out of jail by her librarian godmother. To repay the loan, she starts working at the library and gradually turns her life around."
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,"At the scene of a bizarre murder, L.A. homicide detective Thomas Dagget discovers a lethal heavenly prophecy now being fulfilled on earth. In his fight to stop the forces of evil, he finds an unlikely ally in an elementary school teacher."
189,Reckless (1995),Comedy|Fantasy,"On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie."
190,Safe (1995),Thriller,An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.
191,"Scarlet Letter, The (1995)",Drama|Romance,An affair between a young woman and a pastor has disastrous consequences.
193,Showgirls (1995),Drama,"Nomi, a young carefree drifter, arrives in Las Vegas, Nevada to become a dancer and soon sets about clawing her way to the top of the Vegas showgirls."
194,Smoke (1995),Comedy|Drama,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers."
195,Something to Talk About (1995),Comedy|Drama|Romance,A woman's world is rocked when she discovers her husband is cheating on her.
196,Species (1995),Horror|Sci-Fi,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,A young woman separated from her lover by war faces a life-altering decision.
201,Three Wishes (1995),Drama|Fantasy,"In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realizing who he was, or the effect he would have on her life and those of her family."
202,Total Eclipse (1995),Drama|Romance,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle."
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town."
